id,ts,level,msg
86,2026-02-04 11:27:34,ERROR,curl failed: Could not connect to server
87,2026-02-04 11:27:43,INFO,heartbeat
88,2026-02-04 11:27:58,INFO,heartbeat
89,2026-02-04 11:28:06,ERROR,curl failed: Could not connect to server
90,2026-02-04 11:28:13,INFO,heartbeat
91,2026-02-04 11:28:28,INFO,heartbeat
92,2026-02-04 11:29:16,INFO,USB scan thread started
93,2026-02-04 11:29:16,INFO,Service loop started
94,2026-02-04 11:29:16,INFO,File watch thread started
95,2026-02-04 11:29:16,INFO,API sender thread started
96,2026-02-04 11:29:16,INFO,heartbeat
97,2026-02-04 11:29:18,ERROR,curl failed: Could not connect to server
98,2026-02-04 11:29:31,INFO,heartbeat
99,2026-02-04 11:29:46,INFO,heartbeat
100,2026-02-04 11:29:51,ERROR,curl failed: Could not connect to server
101,2026-02-04 11:30:01,INFO,heartbeat
102,2026-02-04 11:30:17,INFO,heartbeat
103,2026-02-04 11:30:23,ERROR,curl failed: Could not connect to server
104,2026-02-04 11:30:32,INFO,heartbeat
105,2026-02-04 11:30:47,INFO,heartbeat
